0;0;1;0;1;
0;1;0;0;1;
1;0;2;0;3;
0;0;0;0;0;
0;0;0;0;0;
0;0;0;0;0;
2;0;0;0;2;
0;1;0;0;1;
0;0;1;0;1;
0;0;0;0;0;
0;0;0;1;1;
1;0;0;1;2;
1;2;0;0;3;
2;0;0;1;3;
0;0;0;0;0;
0;0;2;0;2;
1;3;1;0;5;
1;0;4;1;6;
0;0;0;0;0;
0;0;0;0;0;
0;0;0;1;1;
1;0;0;0;1;
0;0;0;0;0;
0;0;0;0;0;
1;0;0;0;1;
0;0;0;0;0;
0;0;0;0;0;
2;0;2;1;5;
2;0;0;1;3;
0;0;0;0;0;
4;0;0;0;4;
0;0;0;0;0;
3;1;0;3;7;
1;1;1;0;3;
1;0;1;2;4;
1;0;1;1;3;
2;3;15;10;30;
1;0;0;0;1;
2;0;0;1;3;
1;0;0;0;1;
1;1;7;1;10;
1;0;0;0;1;
1;0;0;0;1;
3;1;1;0;5;
4;1;8;1;14;
0;0;0;1;1;
0;0;0;1;1;
0;0;0;0;0;
3;0;4;0;7;
0;0;0;0;0;
0;0;0;0;0;
0;0;0;0;0;
0;0;0;0;0;
0;1;0;0;1;
0;0;0;0;0;
1;0;0;0;1;
1;0;1;0;2;
1;0;1;1;3;
2;0;2;1;5;
1;0;0;0;1;
1;1;0;0;2;
0;0;2;1;3;
0;0;0;0;0;
1;1;0;0;2;
0;0;0;0;0;
1;0;0;0;1;
5;0;0;0;5;
0;0;0;1;1;
1;2;0;0;3;
0;0;0;0;0;
0;0;0;0;0;
2;0;3;5;10;
5;0;0;0;5;
0;0;0;0;0;
0;1;2;1;4;
2;0;1;3;6;
2;0;0;1;3;
4;1;0;2;7;
1;0;1;1;3;
0;0;2;0;2;
1;1;0;4;6;
1;0;0;0;1;
0;0;0;0;0;
1;0;1;0;2;
0;0;0;0;0;
2;0;7;1;10;
2;0;1;0;3;
0;1;0;0;1;
0;0;1;0;1;
0;0;0;0;0;
2;0;1;1;4;
0;0;0;0;0;
0;0;0;0;0;
1;0;0;1;2;
0;0;0;0;0;
85;24;77;52;238;
